format	fm-lint-telemetry-v1
git_head	ef0169cea2a15c020c7bc503ff4752bd7cafa527
content_cksum	2971612302-4888
shellcheck_version	0.11.0
analysis_mode	full
partition	2of4
jobs	1
root_count	106
direct_lines	72917
direct_bytes	3584746
source_directives	221
source_boundary_directives	27
source_followed_directives	194
source_target_count	57
shard_1_weight_bytes	1792145
shard_2_weight_bytes	1792601
wall_seconds	667
worker_wall_sum_seconds	666.74
max_worker_wall_seconds	364.44
user_seconds	540.73
system_seconds	18.76
max_worker_rss_kib	7090352
worker_rss_sum_kib	12643664
max_root_rss_kib	7090352
max_root	bin/fm-teardown.sh
rss_budget_kib	14680064
shellcheck_processes_start	0
shellcheck_processes_end	0
load_average_start	4.98/5.25/8.25
load_average_end	10.54/10.10/9.53
aggregate_cpu_percent_start	182.50
aggregate_cpu_percent_end	131.80
result_exit	0
